import time: self [us] | cumulative | imported package
import time:       664 |      32823 |               numpy.lib
import time:       321 |        321 |               numpy._array_api_info
import time:      1426 |      65899 |             numpy
import time:       400 |        400 |               dateutil._version
import time:       609 |       1008 |             dateutil
import time:       379 |        379 |               pandas.compat._constants
import time:       304 |        304 |                   pandas.util
import time:      2100 |       2403 |                 pandas.util.version
import time:       479 |       2881 |               pandas.compat.numpy
import time:       304 |        304 |                 pyarrow
import time:       428 |        732 |               pandas.compat.pyarrow
import time:       487 |       4478 |             pandas.compat
import time:       520 |        520 |                     numpy._typing._add_docstring
import time:       383 |        903 |                   numpy.typing
import time:       631 |        631 |                         numpy.random._common
import time:       708 |       1339 |                       numpy.random.bit_generator
import time:       639 |       1977 |                     numpy.random._bounded_integers
import time:       467 |        467 |                         numpy.random._pcg64
import time:      1410 |       1877 |                       numpy.random._generator
